MOLECULE/CAS,SMILES
pona/CAS:943319-70-8,O=C(NC1=CC=C(C(=C1)C(F)(F)F)CN2CCN(C)CC2)C3=CC=C(C(C#CC4=CN=C5C=CC=NN45)=C3)C
PF-114/CAS:1416241-23-0,O=C(NC1=CC=C(C(=C1)C(F)(F)F)CN2CCN(C)CC2)C3=CC=C(C(C#CC4=NN=C5C=CC=CN45)=C3)C
7a/CAS:1314640-64-6,O=C(NC1=CC=C(C(=C1)C(F)(F)F)CN2CCN(C)CC2)C3=CC=C(C(C#CC=4C=NC=CC4)=C3)C
7b/CAS:1314640-65-7,O=C(NC1=CC=C(C(=C1)C(F)(F)F)CN2CCN(C)CC2)C3=CC=C(C(C#CC=4C=NC=NC4)=C3)C
7c/CAS:1314640-66-8,O=C(NC1=CC=C(C(=C1)C(F)(F)F)CN2CCN(C)CC2)C3=CC=C(C(C#CC4=CN=C(C=C4)NC(=O)C)=C3)C
7d/CAS:1314640-67-9,O=C(NC1=CC=C(C(=C1)C(F)(F)F)CN2CCN(C)CC2)C3=CC=C(C(C#CC4=CN=C(C=C4)NC(=O)CC)=C3)C
7e/CAS:1314640-68-0,O=C(N)C1=NC=C(C#CC2=CC(=CC=C2C)C(=O)NC3=CC=C(C(=C3)C(F)(F)F)CN4CCN(C)CC4)C=C1
7f/CAS:1257628-62-8,O=C(NC1=CC=C(C(=C1)C(F)(F)F)CN2CCN(C)CC2)C3=CC=C(C(C#CC4=CN=C(N=C4)NC5CC5)=C3)C
8a/CAS:1314640-69-1,O=C(NC1=CC=C(C(=C1)C(F)(F)F)CN2CCN(C)CC2)C3=CC=C(C(C#CC4=CN=CN4)=C3)C
8b/CAS:1056942-46-1,O=C(NC1=CC=C(C(=C1)C(F)(F)F)CN2CCN(C)CC2)C3=CC=C(C(C#CC4=CN=CN4C)=C3)C
8c/CAS:1289555-63-0,O=C(NC1=CC=C(C(=C1)C(F)(F)F)CN2CCN(C)CC2)C3=CC=C(C(C#CC4=CN=C(N4C)C)=C3)C
8d/CAS:957147-12-5,O=C(N)C1=NC=C(C#CC2=CC(=CC=C2C)C(=O)NC3=CC=C(C(=C3)C(F)(F)F)CN4CCN(C)CC4)N1C
8e/CAS:1314640-70-4,O=C(NC1=CC=C(C(=C1)C(F)(F)F)CN2CCN(C)CC2)C3=CC=C(C(C#CC4=CN=C(C(=O)NC)N4C)=C3)C
8f/CAS:1314640-71-5,O=C(NC1=CC=C(C(=C1)C(F)(F)F)CN2CCN(C)CC2)C3=CC=C(C(C#CC4=CN=C(C(=O)NCCO)N4C)=C3)C
8g/CAS:1056942-51-8,O=C(N)C1=NC=C(C#CC2=CC(=CC=C2C)C(=O)NC3=CC=C(C(=C3)C(F)(F)F)CN4CCN(CCO)CC4)N1C
8h/CAS:1314640-72-6,O=C(NC1=CC=C(C(=C1)C(F)(F)F)CN2CCN(CCO)CC2)C3=CC=C(C(C#CC4=CN=C(C(=O)NC)N4C)=C3)C
8i/CAS:1314640-73-7,O=C(N)C1=NC=C(C#CC2=CC(=CC=C2C)C(=O)NC3=CC=C(C(=C3)C(F)(F)F)CN4CCN(CCOC)CC4)N1C
8j/CAS:1314640-75-9,O=C(N)C1=NC=C(C#CC2=CC(=CC=C2C)C(=O)NC3=CC=C(C(=C3)C(F)(F)F)CN4CCN(CC(=O)O)CC4)N1C
8k/CAS:1056942-55-2,O=C(NC1=CC=C(C(=C1)C(F)(F)F)CN2CCN(C)CC2)C3=CC=C(C(C#CC=4SC(=NC4)N)=C3)C
8l/CAS:1314640-76-0,O=C(NC1=CC=C(C(=C1)C(F)(F)F)CN2CCN(C)CC2)C3=CC=C(C(C#CC=4SC(=NC4)NC(=O)C)=C3)C
2a/CAS:1542265-12-2,C(#CC1=CN=C2C=CC=NN12)C=3C=C(C=CC3C)C4=NC5=CC=C(C=C5N4)CN6CCN(C)CC6
2b/CAS:1542265-10-0,C(#CC=1C=C(C=CC1C)C2=NC3=CC(=CC=C3N2)CN4CCN(C)CC4)C5=NN=C(C=C5)NC6CCC6
2c/CAS:1542265-11-1,C(#CC=1C=C(C=CC1C)C2=NC3=CC=C(C=C3N2)CN4CCN(C)CC4)C5=NN=C(C=C5)NC6CC6
2d/CAS:1542265-13-3,C(#CC=1C=C(C=CC1C)C2=NC3=CC=C(C=C3N2)CN4CCN(C)CC4)C5=NN=C(C=C5)NC(C)C
2e/CAS:1542265-14-4,C(#CC=1C=C(C=CC1C)C2=NC3=CC=C(C=C3N2)CN4CCN(C)CC4)C5=CN=C(N=C5)NC6CC6
2f/CAS:1542265-20-2,C(#CC1=CN=C2C=CC=NN12)C=3C=C(C=CC3C)C4=NC5=CC=C(C=C5N4)N6C=NC(=C6)C
2g/CAS:1542265-15-5,ClC=1C=CC(=CC1C#CC2=CN=C3C=CC=NN23)C4=NC5=CC=C(C=C5N4)CN6CCN(C)CC6
2h/CAS:1542265-17-7,ClC=1C=CC(=CC1C#CC2=NN=C(C=C2)NC3CCC3)C4=NC5=CC(=CC=C5N4)CN6CCN(C)CC6
2i/CAS:1542265-16-6,ClC=1C=CC(=CC1C#CC2=NN=C(C=C2)NC3CC3)C4=NC5=CC=C(C=C5N4)CN6CCN(C)CC6
2j/CAS:1542265-18-8,ClC=1C=CC(=CC1C#CC2=NN=C(C=C2)NC(C)C)C3=NC4=CC=C(C=C4N3)CN5CCN(C)CC5
2k/CAS:1542265-19-9,ClC=1C=CC(=CC1C#CC2=CN=C(N=C2)NC3CC3)C4=NC5=CC=C(C=C5N4)CN6CCN(C)CC6
